Address	Stop
1500 E 92nd St, Brooklyn, NY 11236, USA	Canarsie - Rockaway Pkwy
108-35 167th St, Queens, NY 11433, USA	Jamaica Center - Parsons/Archer
102-29 215th St, Jamaica, NY 11429, USA	179th street station
1290 St Nicholas Ave, New York, NY 10033, USA	175th street station
2300 Randall Ave, The Bronx, NY 10473, USA	Castle Hill Avenue Station
1740 Eastchester Rd, The Bronx, NY 10461, USA	149 st - grand concourse
4422 3rd Ave., The Bronx, NY 10456, USA	28 st station
1447 St Nicholas Ave, New York, NY 10033, USA	72 st
25-10 30th Ave, Queens, NY 11102, USA	mt eden ave
506 Lenox Ave, New York, NY 10037, USA	168 st
1740 Eastchester Rd, The Bronx, NY 10461, USA	Times sq- 42 st
4422 3rd Ave., The Bronx, NY 10456, USA	grand central - 42st
1447 St Nicholas Ave, New York, NY 10033, USA	34 st - herald sq
25-10 30th Ave, Queens, NY 11102, USA	14 st - union sq
506 Lenox Ave, New York, NY 10037, USA	fulton st
